Scattering properties of carbonaceous/silicate dust model
for SMC bar (R_V=2.87) 

dust model of Weingartner JC & Draine BT 2001, ApJ 548:296-309
with abundances/H reduced by factor 0.93. so that b_C=0
Scattering calculated as described by, and with optical constants from
Draine BT 2003, ApJ submitted, astro-ph/0304060

     6 = ICASE = dust model specifier
sigext = extinction cross section/H (cm2/H)
sigsca = scattering cross section/H (cm2/H)
integr.= numerical integration of diff.sca.cross section (cm2/H)

wav(um)= 0.8930000 0.8020000 0.7480000 0.6492000 0.6165000 0.5470000 0.4685000 0.3550000 0.3354000 0.2696000 0.2220000 0.1820000
sigext = 2.683E-23 3.210E-23 3.589E-23 4.480E-23 4.838E-23 5.711E-23 6.973E-23 9.599E-23 1.010E-22 1.308E-22 1.674E-22 2.134E-22
sigsca = 1.834E-23 2.258E-23 2.568E-23 3.297E-23 3.591E-23 4.309E-23 5.346E-23 7.476E-23 7.892E-23 1.030E-22 1.301E-22 1.381E-22
integr.= 1.844E-23 2.270E-23 2.582E-23 3.316E-23 3.611E-23 4.333E-23 5.376E-23 7.518E-23 7.936E-23 1.036E-22 1.308E-22 1.389E-22
albedo=  0.68345   0.70338   0.71542   0.73599   0.74223   0.75455   0.76678   0.77887   0.78130   0.78750   0.77721   0.64710
 <cos>=  0.44384   0.47390   0.49106   0.52054   0.52926   0.54371   0.55547   0.55799   0.55387   0.54807   0.53521   0.55050

theta(deg) differential scattering cross section (cm2 sr-1 H-1) for unpolarized incident light
----------------------------------------------------------
 22.0000 5.060E-24 6.711E-24 7.975E-24 1.116E-23 1.251E-23 1.576E-23 2.038E-23 2.851E-23 2.984E-23 3.805E-23 4.550E-23 4.776E-23
 23.0000 4.957E-24 6.561E-24 7.788E-24 1.086E-23 1.216E-23 1.527E-23 1.965E-23 2.731E-23 2.859E-23 3.629E-23 4.339E-23 4.549E-23
 24.0000 4.853E-24 6.412E-24 7.601E-24 1.056E-23 1.181E-23 1.479E-23 1.894E-23 2.615E-23 2.739E-23 3.462E-23 4.142E-23 4.338E-23
 25.0000 4.749E-24 6.262E-24 7.414E-24 1.027E-23 1.146E-23 1.431E-23 1.824E-23 2.504E-23 2.624E-23 3.305E-23 3.959E-23 4.143E-23
 26.0000 4.646E-24 6.113E-24 7.229E-24 9.979E-24 1.112E-23 1.384E-23 1.756E-23 2.398E-23 2.513E-23 3.156E-23 3.787E-23 3.962E-23
 27.0000 4.542E-24 5.964E-24 7.044E-24 9.692E-24 1.078E-23 1.337E-23 1.690E-23 2.295E-23 2.407E-23 3.016E-23 3.627E-23 3.792E-23
 28.0000 4.439E-24 5.817E-24 6.862E-24 9.407E-24 1.044E-23 1.292E-23 1.625E-23 2.198E-23 2.305E-23 2.884E-23 3.476E-23 3.632E-23
 29.0000 4.337E-24 5.671E-24 6.681E-24 9.127E-24 1.011E-23 1.247E-23 1.561E-23 2.104E-23 2.207E-23 2.759E-23 3.334E-23 3.482E-23
 30.0000 4.236E-24 5.527E-24 6.502E-24 8.850E-24 9.789E-24 1.203E-23 1.500E-23 2.015E-23 2.114E-23 2.642E-23 3.200E-23 3.340E-23
 31.0000 4.135E-24 5.384E-24 6.325E-24 8.578E-24 9.471E-24 1.160E-23 1.440E-23 1.930E-23 2.026E-23 2.531E-23 3.073E-23 3.206E-23
 32.0000 4.036E-24 5.243E-24 6.151E-24 8.311E-24 9.158E-24 1.118E-23 1.382E-23 1.849E-23 1.941E-23 2.426E-23 2.953E-23 3.079E-23
 33.0000 3.938E-24 5.104E-24 5.979E-24 8.048E-24 8.852E-24 1.077E-23 1.327E-23 1.772E-23 1.860E-23 2.327E-23 2.839E-23 2.959E-23
 34.0000 3.841E-24 4.967E-24 5.810E-24 7.790E-24 8.552E-24 1.038E-23 1.273E-23 1.699E-23 1.784E-23 2.233E-23 2.730E-23 2.844E-23
 35.0000 3.746E-24 4.832E-24 5.643E-24 7.537E-24 8.259E-24 9.988E-24 1.220E-23 1.629E-23 1.710E-23 2.144E-23 2.626E-23 2.736E-23
 36.0000 3.652E-24 4.699E-24 5.480E-24 7.290E-24 7.973E-24 9.610E-24 1.170E-23 1.563E-23 1.641E-23 2.059E-23 2.526E-23 2.632E-23
 37.0000 3.559E-24 4.569E-24 5.319E-24 7.047E-24 7.694E-24 9.243E-24 1.122E-23 1.500E-23 1.575E-23 1.979E-23 2.431E-23 2.534E-23
 38.0000 3.468E-24 4.441E-24 5.162E-24 6.810E-24 7.422E-24 8.888E-24 1.076E-23 1.440E-23 1.511E-23 1.902E-23 2.341E-23 2.440E-23
 39.0000 3.379E-24 4.315E-24 5.007E-24 6.579E-24 7.157E-24 8.543E-24 1.031E-23 1.382E-23 1.451E-23 1.829E-23 2.254E-23 2.351E-23
 40.0000 3.291E-24 4.192E-24 4.855E-24 6.354E-24 6.899E-24 8.210E-24 9.885E-24 1.328E-23 1.394E-23 1.759E-23 2.171E-23 2.265E-23
 41.0000 3.205E-24 4.071E-24 4.707E-24 6.134E-24 6.649E-24 7.888E-24 9.476E-24 1.276E-23 1.339E-23 1.693E-23 2.091E-23 2.184E-23
 42.0000 3.121E-24 3.953E-24 4.562E-24 5.919E-24 6.405E-24 7.577E-24 9.085E-24 1.226E-23 1.287E-23 1.629E-23 2.015E-23 2.105E-23
